mode,strategy,run_number,user,cpu_ms,elapsed_ms,logical_reads,rows_returned,errors,machine,policy_id,policy_name,predicate_function,predicate_columns,table_affected,query_name,tables_used
WITH_RLS,NO_CARTESIAN,1,user1,3133,297,104890,1,,Mr,P2,lineitem_rls_policy,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,669,71,104890,1,,Mr,P2,lineitem_rls_policy,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,3036,283,104890,1,,Mr,P2,lineitem_rls_policy,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,648,68,104890,1,,Mr,P2,lineitem_rls_policy,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,2795,263,104890,1,,Mr,P2,lineitem_rls_policy,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,722,70,104890,1,,Mr,P2,lineitem_rls_policy,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,2854,271,104890,1,,Mr,P2,lineitem_rls_policy,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,659,65,104890,1,,Mr,P2,lineitem_rls_policy,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,2735,258,104890,1,,Mr,P2,lineitem_rls_policy,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,638,71,104890,1,,Mr,P2,lineitem_rls_policy,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,2838,272,104890,1,,Mr,P7,lineitem_rls_policy,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,640,62,104890,1,,Mr,P7,lineitem_rls_policy,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
