mode,strategy,run_number,user,policy_ids,predicate_functions,tables_affected,cpu_ms,elapsed_ms,logical_reads,physical_reads,read_ahead_reads,rows_returned,errors,machine,query_name,tables_used
WITH_RLS,MODE2_EXPLICIT,1,user1,P25,dbo.p25_lineitem_above_brand_avg_price,lineitem,14828366,1361317,823375261,2891,123589,187,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P26,dbo.p26_part_many_suppliers,part,128147,12492,8942671,5,142957,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P26,dbo.p26_part_many_suppliers,part,110152,10970,8942671,5,142957,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P26,dbo.p26_part_many_suppliers,part,127100,12789,8942671,5,142958,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P27,dbo.p27_supplier_below_global_avg_cost,supplier,106612,11316,8942671,5,142958,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P27,dbo.p27_supplier_below_global_avg_cost,supplier,113788,12015,8942671,5,142957,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P27,dbo.p27_supplier_below_global_avg_cost,supplier,112477,11281,8942671,5,142956,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P28,dbo.p28_orders_no_late_commit,orders,112845,11312,8942552,5,142956,153,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P28,dbo.p28_orders_no_late_commit,orders,120051,11776,8942552,5,142956,153,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P28,dbo.p28_orders_no_late_commit,orders,115851,11407,8942552,5,142966,153,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P29,dbo.p29_customer_lifetime_value_gt_balance,customer,117010,11444,9350106,3302,120087,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P29,dbo.p29_customer_lifetime_value_gt_balance,customer,120947,11901,9350106,3302,120088,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P29,dbo.p29_customer_lifetime_value_gt_balance,customer,118623,11820,9350106,3303,120087,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P2,dbo.p2_no_carefully,lineitem,3695,1586,2809455,44,146204,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P2,dbo.p2_no_carefully,lineitem,3783,1578,2809119,56,146115,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P2,dbo.p2_no_carefully,lineitem,3818,1671,2808213,49,146178,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P30,dbo.p30_lineitem_cross_nation_same_region,lineitem,4751,1802,4248069,459,146381,359,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P30,dbo.p30_lineitem_cross_nation_same_region,lineitem,4853,1772,4247560,465,146325,359,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P30,dbo.p30_lineitem_cross_nation_same_region,lineitem,4865,1790,4247641,469,146296,359,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P31,dbo.p31_part_no_large_quantity,part,112795,11572,8942671,5,142958,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P31,dbo.p31_part_no_large_quantity,part,110995,11678,8942671,5,142957,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P31,dbo.p31_part_no_large_quantity,part,118560,12018,8942671,5,142956,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P32,dbo.p32_supplier_urgent_orders,supplier,7620,922,1011466,12,128575,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P32,dbo.p32_supplier_urgent_orders,supplier,7270,961,1014101,10,128741,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P32,dbo.p32_supplier_urgent_orders,supplier,7152,886,1009458,11,128646,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P33,dbo.p33_orders_customer_above_nation_avg,orders,1008518,91144,101391324,2881,123601,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P33,dbo.p33_orders_customer_above_nation_avg,orders,1044622,96529,101391324,2881,123584,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P33,dbo.p33_orders_customer_above_nation_avg,orders,927004,116140,101391324,2875,123502,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P34,dbo.p34_customer_multi_year_orders,customer,128775,12615,9350106,3302,120086,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P34,dbo.p34_customer_multi_year_orders,customer,121741,12022,9350106,3303,120086,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P34,dbo.p34_customer_multi_year_orders,customer,121344,12475,9350106,3303,120086,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P36,dbo.p36_part_size_above_type_avg,part,119031,12532,8942671,5,142956,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P36,dbo.p36_part_size_above_type_avg,part,121234,12367,8942671,5,142958,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
